id,level,component_type,csiCode,description,tree_path
b6ee7cb5-ff76-4927-be78-011dc229a466,3,"            Central Battery Equipment",26 33 23,"Central Battery Equipment (26 33 23): Centralized power systems incorporating batteries, charging equipment, and distribution panels designed to provide backup power to multiple connected loads or areas from a single location.",Electrical > Facility Electrical Power Generating and Storing Equipment > Battery Equipment > Central Battery Equipment
776895b8-b33d-4ae7-86e6-c6c6355e57fc,4,"                Central Battery Equipment for Emergency Lighting",26 33 23.13,Central Battery Equipment for Emergency Lighting (26 33 23.13): Centralized emergency power systems specifically engineered to provide reliable backup power to emergency lighting fixtures throughout a facility during main power failures.,Electrical > Facility Electrical Power Generating and Storing Equipment > Battery Equipment > Central Battery Equipment > Central Battery Equipment for Emergency Lighting
660d2724-1e0b-4a20-b100-df5f1a5e4331,3,"            Static Power Converters",26 33 33,"Static Power Converters (CSI Code 26 33 33) are devices that convert electrical energy from one form to another, such as AC to DC, DC to AC, or between different voltage levels. They are commonly used in applications like power supplies, inverters, rectifiers, and motor drives to ensure efficient energy management and delivery.",Electrical > Facility Electrical Power Generating and Storing Equipment > Battery Equipment > Static Power Converters
051b3290-8585-46cc-9650-66bfaadf8dac,3,"            Static Uninterruptible Power Supply",26 33 53,Furnish static uninterruptible power supply (UPS) systems to provide continuous power during outages. UPS systems must include automatic switching to battery power and be designed for critical applications. Ensure proper factory testing to verify system performance and integration with the building’s power system.,Electrical > Facility Electrical Power Generating and Storing Equipment > Battery Equipment > Static Uninterruptible Power Supply
9fb8e41e-88b6-4e5e-b67f-65f08c71b070,3,"            Uninterruptible Power Supply",26 33 40,UPS Systems,Electrical > Facility Electrical Power Generating and Storing Equipment > Battery Equipment > Uninterruptible Power Supply
33dbef9f-607c-475b-9472-30664c581b14,4,"                Central UPS Systems",26 33 41,Centralized UPS,Electrical > Facility Electrical Power Generating and Storing Equipment > Battery Equipment > Uninterruptible Power Supply > Central UPS Systems
50cef4c4-96a2-4161-b7a5-032d53128e4a,5,"                    Parallel Module UPS",26 33 41.16,Parallel UPS Systems,Electrical > Facility Electrical Power Generating and Storing Equipment > Battery Equipment > Uninterruptible Power Supply > Central UPS Systems > Parallel Module UPS
c5222bb6-8097-474f-9ab6-b72cd40a861c,5,"                    Single Module UPS",26 33 41.13,Single UPS Systems,Electrical > Facility Electrical Power Generating and Storing Equipment > Battery Equipment > Uninterruptible Power Supply > Central UPS Systems > Single Module UPS
6c881403-36ef-43cd-952d-4682ba43a02c,4,"                Distributed UPS Systems",26 33 42,Distributed UPS,Electrical > Facility Electrical Power Generating and Storing Equipment > Battery Equipment > Uninterruptible Power Supply > Distributed UPS Systems
0f70ec7b-6cbf-4258-938d-85948e4e1d28,5,"                    Local UPS",26 33 42.16,Local UPS Systems,Electrical > Facility Electrical Power Generating and Storing Equipment > Battery Equipment > Uninterruptible Power Supply > Distributed UPS Systems > Local UPS
28f691fa-1bb2-4314-8a18-e0c61b00e730,5,"                    Rack-Mounted UPS",26 33 42.13,Rack UPS Systems,Electrical > Facility Electrical Power Generating and Storing Equipment > Battery Equipment > Uninterruptible Power Supply > Distributed UPS Systems > Rack-Mounted UPS
c395a3db-82d0-4b26-ac1e-bf2e40146d14,4,"                Rotary UPS",26 33 43,Rotary UPS Systems,Electrical > Facility Electrical Power Generating and Storing Equipment > Battery Equipment > Uninterruptible Power Supply > Rotary UPS
e508a248-b45a-4cf1-a882-32e299c03c9b,2,"        Packaged Generator Assemblies",26 32 00,Packaged Generator Assemblies,Electrical > Facility Electrical Power Generating and Storing Equipment > Packaged Generator Assemblies
39483341-8585-42d9-bacc-62652e714f83,3,"            Engine Generators",26 32 13,"Engine generators provide backup or primary electrical power through fuel-powered engines, typically diesel, natural gas, or propane, and include the engine, generator, controls, mounting system, and necessary accessories for a complete operational unit.",Electrical > Facility Electrical Power Generating and Storing Equipment > Packaged Generator Assemblies > Engine Generators
f7ba693f-cad3-489a-aabe-9875a2a41c48,4,"                Diesel-Engine-Driven Generator Sets",26 32 13.13,"Diesel-engine-driven generator sets are complete power generation systems that combine diesel engines with electrical generators, control panels, and cooling systems to provide reliable standby or prime power generation for facilities and critical applications.",Electrical > Facility Electrical Power Generating and Storing Equipment > Packaged Generator Assemblies > Engine Generators > Diesel-Engine-Driven Generator Sets
ea9e8dec-5253-4ff7-a543-7b47803d6119,4,"                Gas-Engine-Driven Generator Sets",26 32 13.16,"Gas-engine-driven generator sets combine natural gas or propane engines with electrical generators and integrated controls to provide continuous or backup power generation, offering lower emissions compared to diesel alternatives.",Electrical > Facility Electrical Power Generating and Storing Equipment > Packaged Generator Assemblies > Engine Generators > Gas-Engine-Driven Generator Sets
bbda5358-be85-42f2-b30b-61a11c4edeac,4,"                Gas-Turbine Engine-Driven Generators",26 32 13.26,"Gas-turbine engine-driven generators utilize gas turbine engines coupled with electrical generators to deliver high-power output in a compact footprint, typically used in industrial and utility-scale applications where rapid response and reliability are essential.",Electrical > Facility Electrical Power Generating and Storing Equipment > Packaged Generator Assemblies > Engine Generators > Gas-Turbine Engine-Driven Generators
1d388ff4-c0cd-4980-b6bf-57d92908da39,3,"            Hydro-Turbine Generators",26 32 19,"Hydro-turbine generators convert the kinetic energy of flowing water into electrical power through rotating turbines coupled to generators, commonly used in hydroelectric dams and run-of-river power plants.",Electrical > Facility Electrical Power Generating and Storing Equipment > Packaged Generator Assemblies > Hydro-Turbine Generators
8114fa98-8ef7-4f4d-ba6a-c7e3aab14abb,3,"            Rotary Converters",26 32 29,"Rotary converters transform electrical power between AC and DC or between different frequencies through rotating electromagnetic machinery, commonly used in specialized industrial power conversion applications.",Electrical > Facility Electrical Power Generating and Storing Equipment > Packaged Generator Assemblies > Rotary Converters
c474e49e-b165-46ee-9b2a-84bf7fd0a116,3,"            Rotary Uninterruptible Power Units",26 32 33,"Rotary uninterruptible power units combine a motor-generator set with energy storage to provide continuous, conditioned power during utility outages, offering both power conditioning and backup power capabilities in a single system.",Electrical > Facility Electrical Power Generating and Storing Equipment > Packaged Generator Assemblies > Rotary Uninterruptible Power Units
32d80d82-c570-4db4-9f80-08a189bc16c6,3,"            Steam-Turbine Generators",26 32 16,"Steam-turbine generators convert thermal energy from pressurized steam into electrical power using rotating turbine blades coupled to electrical generators, commonly used in power plants and industrial facilities with excess steam capacity.",Electrical > Facility Electrical Power Generating and Storing Equipment > Packaged Generator Assemblies > Steam-Turbine Generators
c632816c-1b17-45ac-822b-f37808ed64cc,3,"            Wind Energy Equipment",26 32 23,"Wind energy equipment includes turbines, blades, towers, and control systems that harness and convert wind energy into electrical power, primarily used in utility-scale wind farms and distributed generation applications.",Electrical > Facility Electrical Power Generating and Storing Equipment > Packaged Generator Assemblies > Wind Energy Equipment
7d70be2a-052a-463f-9e09-234365efcc61,4,"                Horizontal-Axis Wind Turbines",26 32 23.13,"Horizontal-axis wind turbines feature rotating blades mounted perpendicular to the wind direction on a horizontal shaft, representing the most common utility-scale wind turbine design due to their high efficiency and proven reliability.",Electrical > Facility Electrical Power Generating and Storing Equipment > Packaged Generator Assemblies > Wind Energy Equipment > Horizontal-Axis Wind Turbines
1ce437ac-055a-42e2-9aa4-a6270c0dc09f,4,"                Vertical-Axis Wind Turbines",26 32 23.16,"Vertical-axis wind turbines feature blades that rotate around a vertical shaft parallel to the wind direction, offering advantages in turbulent wind conditions and urban environments despite lower overall efficiency than horizontal designs.",Electrical > Facility Electrical Power Generating and Storing Equipment > Packaged Generator Assemblies > Wind Energy Equipment > Vertical-Axis Wind Turbines
47630fce-0999-463a-80a5-7dc26e582b09,2,"        Photovoltaic Collectors",26 31 00,"Photovoltaic collectors are devices that convert sunlight directly into electricity through semiconductor materials, typically consisting of solar cells arranged in panels with protective coverings and mounting systems.  Copy",Electrical > Facility Electrical Power Generating and Storing Equipment > Photovoltaic Collectors
d3352a89-05d6-4a8c-88de-5502879c8663,2,"        Power Filters and Conditioners",26 35 00,"Power filters and conditioners are devices designed to improve the quality of electrical power by filtering out noise, voltage spikes, and harmonic distortion while providing consistent and stable power to sensitive electronic equipment.",Electrical > Facility Electrical Power Generating and Storing Equipment > Power Filters and Conditioners
4d97c5a0-a84b-443c-8b95-d30f285e806d,3,"            Capacitors",26 35 13,"Capacitors are electrical components used to store and release energy in an electrical circuit, commonly employed for power factor correction, voltage stabilization, and filtering applications in power systems.",Electrical > Facility Electrical Power Generating and Storing Equipment > Power Filters and Conditioners > Capacitors
98b7049c-daf2-4338-a25e-350d44a5f64f,3,"            Chokes and Inductors",26 35 16,"Chokes and inductors are passive electrical components used to limit alternating current (AC) while allowing direct current (DC) to pass, commonly utilized for filtering, energy storage, and controlling electromagnetic interference in power systems.",Electrical > Facility Electrical Power Generating and Storing Equipment > Power Filters and Conditioners > Chokes and Inductors
3ffa6c69-4d7f-457e-be0b-6c9f62b3c9e7,3,"            Electromagnetic-Interference Filters",26 35 23," Electromagnetic-interference (EMI) filters are devices designed to suppress high-frequency noise and prevent electromagnetic interference from affecting or being emitted by electronic equipment, ensuring compliance with regulatory standards and reliable system operation.",Electrical > Facility Electrical Power Generating and Storing Equipment > Power Filters and Conditioners > Electromagnetic-Interference Filters
39b52205-f47d-4ea2-ae6d-5a4e4ec14d9f,3,"            Harmonic Filters",26 35 26,"Harmonic filters are electrical devices used to mitigate harmonic distortion in power systems, improving power quality and protecting equipment by reducing voltage and current waveform irregularities.",Electrical > Facility Electrical Power Generating and Storing Equipment > Power Filters and Conditioners > Harmonic Filters
49364129-9bdd-48f7-98b5-baed523bf6cf,3,"            Power Factor Correction Equipment",26 35 33,"Power factor correction equipment is designed to improve the efficiency of electrical power systems by reducing reactive power, thereby optimizing power factor and lowering energy costs while enhancing system performance.",Electrical > Facility Electrical Power Generating and Storing Equipment > Power Filters and Conditioners > Power Factor Correction Equipment
a735db97-f3b3-49c4-b1b1-5a586928cd97,3,"            Radio-Frequency-Interference Filters",26 35 46,"Radio-frequency-interference (RFI) filters are devices designed to suppress high-frequency electromagnetic noise, ensuring reliable operation of electronic equipment by preventing unwanted radio frequency signals from entering or leaving the system.",Electrical > Facility Electrical Power Generating and Storing Equipment > Power Filters and Conditioners > Radio-Frequency-Interference Filters
cf69c7cf-ed16-4a8c-9b71-085f307297de,3,"            Static-Frequency Converters",26 35 43,"Static-frequency converters are electronic devices that convert electrical power from one frequency to another, typically used in industrial applications to operate equipment at different frequencies or to interface with power systems of varying standards.",Electrical > Facility Electrical Power Generating and Storing Equipment > Power Filters and Conditioners > Static-Frequency Converters
250317d8-f0eb-48fc-a28d-055c7631c342,3,"            Voltage Regulators",26 35 53," Voltage regulators are devices used to maintain a consistent output voltage level in electrical systems, protecting equipment by compensating for fluctuations in input voltage.",Electrical > Facility Electrical Power Generating and Storing Equipment > Power Filters and Conditioners > Voltage Regulators
5cd5cb95-746d-40da-b710-fe2933fa8c8a,2,"        Power Generation Equipment",26 32 00,Power Generation Systems,Electrical > Facility Electrical Power Generating and Storing Equipment > Power Generation Equipment
1536ed03-906d-4c6f-bc03-a342ead36e2e,3,"            Engine Generators",26 32 13,Generator Systems,Electrical > Facility Electrical Power Generating and Storing Equipment > Power Generation Equipment > Engine Generators
d3fc684f-996c-4ddb-b510-070f71d91a31,4,"                Diesel Engine Generators",26 32 13.13,Diesel Generator Systems,Electrical > Facility Electrical Power Generating and Storing Equipment > Power Generation Equipment > Engine Generators > Diesel Engine Generators
929c3522-0bfd-4822-b0c1-718d8750b6ca,4,"                Natural Gas Engine Generators",26 32 13.16,Gas Generator Systems,Electrical > Facility Electrical Power Generating and Storing Equipment > Power Generation Equipment > Engine Generators > Natural Gas Engine Generators
0c773dcb-efff-48d6-bc69-665e78f45154,2,"        Transfer Switches",26 36 00,Power Transfer Equipment,Electrical > Facility Electrical Power Generating and Storing Equipment > Transfer Switches
58ed09c4-545e-48cd-b0be-c708f1743b3b,3,"            Automatic Transfer Switches",26 36 23,Automatic Transfer Equipment,Electrical > Facility Electrical Power Generating and Storing Equipment > Transfer Switches > Automatic Transfer Switches
910f1f9b-088e-4feb-842b-ff137bdb8def,4,"                Bypass Isolation ATS",26 36 23.19,Bypass Transfer Systems,Electrical > Facility Electrical Power Generating and Storing Equipment > Transfer Switches > Automatic Transfer Switches > Bypass Isolation ATS
74492fc5-2b31-481f-bf80-c260535096b2,4,"                Closed Transition ATS",26 36 23.16,Closed Transition Transfer,Electrical > Facility Electrical Power Generating and Storing Equipment > Transfer Switches > Automatic Transfer Switches > Closed Transition ATS
1e264d0e-afec-4763-adba-6a01be0ffd74,4,"                Open Transition ATS",26 36 23.13,Open Transition Transfer,Electrical > Facility Electrical Power Generating and Storing Equipment > Transfer Switches > Automatic Transfer Switches > Open Transition ATS
41db3276-92be-4f8f-b5e0-0286ff305346,3,"            Bypass-Isolation Transfer Switches",26 36 19,Bypass Transfer Equipment,Electrical > Facility Electrical Power Generating and Storing Equipment > Transfer Switches > Bypass-Isolation Transfer Switches
58274b20-21b4-445c-9818-287553904bac,3,"            Manual Transfer Switches",26 36 13,Manual Transfer Equipment,Electrical > Facility Electrical Power Generating and Storing Equipment > Transfer Switches > Manual Transfer Switches
147c5351-a641-4bfc-b8ac-8db9d32bd70b,1,"    Grounding and Bonding",26 56 00,Electrical Grounding Systems,Electrical > Grounding and Bonding
57422f07-a04d-44b1-baa0-982490049912,2,"        Grounding Systems",26 56 13,Building Grounding,Electrical > Grounding and Bonding > Grounding Systems
5964e139-c20e-4693-9315-3e0817203d26,3,"            Ground Bars",26 56 13.13,Grounding Bars,Electrical > Grounding and Bonding > Grounding Systems > Ground Bars
88b5298f-277e-4cfe-a115-73a2f1c5a37e,3,"            Ground Grids",26 56 13.16,Ground Grid Systems,Electrical > Grounding and Bonding > Grounding Systems > Ground Grids
e3e70180-32e1-4b15-8768-949e74c07dc9,1,"    Industrial Battery Equipment",26 35 00,Industrial Battery Systems,Electrical > Industrial Battery Equipment
a6d0e6e0-3839-49f1-845b-23c48a016bec,2,"        Battery Testing Equipment",26 35 16,Battery Testing,Electrical > Industrial Battery Equipment > Battery Testing Equipment
d07f608b-5c34-402b-8280-c29e692ba41f,1,"    Instrumentation and Control for Electrical Systems","26 09 00 ","Systems that monitor, control, and manage electrical equipment and loads, including components like control panels, meters, sensors, and automation devices for optimizing power distribution and energy usage.",Electrical > Instrumentation and Control for Electrical Systems
dbc9fa0d-728c-4a9f-86df-120fee0fb996,2,"        Central Dimming Controls",26 09 33,"Automated lighting control systems that provide centralized dimming capabilities across multiple zones or areas, allowing for preset scenes, scheduled adjustments, and energy management through variable light levels.",Electrical > Instrumentation and Control for Electrical Systems > Central Dimming Controls
fb3c6438-c72f-4826-88c2-b1bbacc3515c,3,"            Multichannel Remote-Controlled Dimmers",26 09 33.13,"Advanced dimming systems that control multiple lighting channels or zones independently through remote interfaces, enabling precise adjustment of light levels across different areas from a central location.",Electrical > Instrumentation and Control for Electrical Systems > Central Dimming Controls > Multichannel Remote-Controlled Dimmers
e93573fe-98c6-46eb-9df7-43a2b8df800b,2,"        Electrical Power Monitoring","26 09 13 ","Equipment and software systems that measure, analyze, and display real-time electrical parameters like voltage, current, power factor, and energy consumption to enable monitoring and optimization of power distribution systems.",Electrical > Instrumentation and Control for Electrical Systems > Electrical Power Monitoring
b59aef01-20bb-41c1-b5c3-1b64998433c3,2,"        Lighting Control Devices","26 09 23 ","Equipment that controls lighting systems through various inputs like occupancy sensors, daylight sensors, and timers to automate illumination levels and achieve energy efficiency in buildings.",Electrical > Instrumentation and Control for Electrical Systems > Lighting Control Devices
af8465a9-e7ac-4eda-8079-94434ce33bc1,2,"        Lighting Control Panelboards",26 09 26,"Centralized lighting control panels that integrate circuit breakers with control modules to provide scheduled, automated, and manual control over multiple lighting circuits from a single location.",Electrical > Instrumentation and Control for Electrical Systems > Lighting Control Panelboards
0c80cc29-a573-4f75-8fde-b228f03f73b9,2,"        Modular Dimming Controls",26 09 36,"Modular lighting control systems that allow flexible configuration through interchangeable dimming modules, providing scalable and customizable control over different lighting loads and zones.",Electrical > Instrumentation and Control for Electrical Systems > Modular Dimming Controls
2890ccac-c25d-4466-81e7-5e2f2a11638b,3,"            Integrated Multipreset Modular Dimming Controls",26 09 36.16,"Comprehensive dimming control systems that integrate multiple preset lighting scenes with modular components, allowing for sophisticated control of multiple zones while maintaining flexibility for system modifications.",Electrical > Instrumentation and Control for Electrical Systems > Modular Dimming Controls > Integrated Multipreset Modular Dimming Controls
67f5f3a8-b2c8-4161-9405-e30cb0cf30a8,3,"            Manual Modular Dimming Controls",26 09 36.13,"Lighting control modules with manual dimming interfaces that can be configured and combined to create customizable dimming systems, allowing direct user control over light levels in different zones.",Electrical > Instrumentation and Control for Electrical Systems > Modular Dimming Controls > Manual Modular Dimming Controls
c73ace54-6cdc-46ba-a49b-ee3cf6a7ebfd,2,"        Network Lighting Controls",26 09 43,"Advanced lighting control systems that connect and manage lighting devices over a network protocol, enabling centralized monitoring, scheduling, and control of lighting across an entire facility through digital communication.",Electrical > Instrumentation and Control for Electrical Systems > Network Lighting Controls
15544bc3-7177-40a8-87ec-1d9e76d0eead,3,"            Addressable Luminaire Lighting Controls",26 09 43.16,"Individual lighting fixtures with built-in control capabilities that can be uniquely addressed and controlled over a digital network, enabling fixture-level dimming, monitoring, and integration with building management systems.",Electrical > Instrumentation and Control for Electrical Systems > Network Lighting Controls > Addressable Luminaire Lighting Controls
c4ad3bb0-dc47-43a6-9f35-f5e8470f2774,3,"            Digital-Network Lighting Controls",26 09 43.13,"Networked lighting control systems that utilize digital protocols to enable precise dimming, scheduling, monitoring, and integration with building automation systems through addressable lighting devices and controllers.  Copy",Electrical > Instrumentation and Control for Electrical Systems > Network Lighting Controls > Digital-Network Lighting Controls
6da32b60-1033-4b71-b586-e5689070435a,3,"            Relay-Based Lighting Controls",26 09 43.23,"Networked lighting control systems that use relay-based switching to provide on/off control of lighting circuits, enabling scheduled operation and integration with building automation through digital interfaces.",Electrical > Instrumentation and Control for Electrical Systems > Network Lighting Controls > Relay-Based Lighting Controls
519fbe2e-17ee-42fe-b9a8-5f4d5a4255cf,3,"            Theatrical Lighting Controls",26 09 61,"Specialized control systems designed for theatrical lighting applications, providing sophisticated dimming, scene programming, and integration with entertainment lighting fixtures to enable dynamic stage and performance lighting effects.",Electrical > Instrumentation and Control for Electrical Systems > Network Lighting Controls > Theatrical Lighting Controls
75b95ab4-6cde-4c9e-98e7-d68aed311614,3,"            Wireless Network Lighting Controls",26 09 43.19,"Lighting control systems that communicate wirelessly to manage and control luminaires, enabling flexible installation without control wiring while providing comprehensive dimming, scheduling, and monitoring capabilities.",Electrical > Instrumentation and Control for Electrical Systems > Network Lighting Controls > Wireless Network Lighting Controls
448b7484-d4cc-437b-ac22-7f8276de243e,2,"        Peak Load Controllers",26 09 15,"Automated systems that monitor and control electrical loads to prevent exceeding peak demand thresholds, helping facilities optimize power consumption and reduce utility demand charges.",Electrical > Instrumentation and Control for Electrical Systems > Peak Load Controllers
559336a2-48d9-43f2-83bb-628f7f372f88,2,"        Programmable Controllers","26 09 17 ","Electronic control systems with programmable memory that automate electrical equipment operation through customizable logic, timers, and input/output connections to meet specific facility control requirements.  Copy",Electrical > Instrumentation and Control for Electrical Systems > Programmable Controllers
b61997ad-005d-4d62-bf16-ab6a8fc4791c,1,"    Lighting",26 50 00,"Lighting encompasses systems and devices designed to provide illumination for various applications, including residential, commercial, and industrial environments, focusing on functionality, energy efficiency, and aesthetic appeal.",Electrical > Lighting
e649fab3-65ec-43ce-8092-19e4858c8f6f,2,"        Classified Location Lighting",26 54 00,"Classified location lighting comprises lighting systems designed for use in hazardous environments, engineered to prevent ignition of flammable gases, vapors, or dust through explosion-proof or intrinsically safe designs.",Electrical > Lighting > Classified Location Lighting
54b9645b-cc39-4592-b0e9-3cb16aeef360,3,"            Fluorescent Classified Location Lighting",26 54 16,Fluorescent classified location lighting includes explosion-proof fluorescent fixtures designed to provide energy-efficient illumination in hazardous environments while preventing the ignition of flammable substances.,Electrical > Lighting > Classified Location Lighting > Fluorescent Classified Location Lighting
a44b69d0-fe61-4d0d-962b-2c4154ac7a07,3,"            Incandescent Classified Location Lighting",26 54 13,"Incandescent classified location lighting consists of explosion-proof incandescent fixtures designed for hazardous environments, providing safe illumination while preventing ignition of flammable gases, vapors, or dust.",Electrical > Lighting > Classified Location Lighting > Incandescent Classified Location Lighting
4be20c9c-7339-455f-93d6-e9922518d4e1,3,"            LED Classified Location Lighting",26 54 19,"LED classified location lighting consists of explosion-proof LED fixtures designed for hazardous environments, offering energy efficiency, durability, and safe operation by preventing ignition of flammable substances.",Electrical > Lighting > Classified Location Lighting > LED Classified Location Lighting
b743c3f0-ca37-4509-8738-8dec2521fdf9,2,"        Exterior Lighting",26 56 00,"Exterior lighting includes systems and fixtures designed to illuminate outdoor spaces, providing functionality, safety, and aesthetic enhancement for areas such as landscapes, pathways, and building exteriors.",Electrical > Lighting > Exterior Lighting
226ee0ff-2fdd-456a-8d43-d7300f163b4f,3,"            Area Lighting",26 56 23,"Area lighting consists of outdoor illumination systems designed to provide broad, uniform lighting for large spaces such as parking lots, parks, and public gathering areas, ensuring visibility and safety.",Electrical > Lighting > Exterior Lighting > Area Lighting
cf15222c-3e82-46a7-81ae-8f8f4061c257,3,"            Exterior Athletic Lighting",26 56 68,"Exterior athletic lighting consists of high-performance lighting systems designed to illuminate outdoor sports fields and arenas, ensuring optimal visibility for players and spectators during evening or low-light conditions.",Electrical > Lighting > Exterior Lighting > Exterior Athletic Lighting
923dbbda-c690-45c8-9237-e37cf2132292,3,"            Flood Lighting",26 56 36,"Flood lighting includes high-intensity fixtures designed to provide broad, powerful illumination for outdoor areas such as building facades, sports fields, and large open spaces, ensuring visibility and security.",Electrical > Lighting > Exterior Lighting > Flood Lighting
20ae0472-082a-4566-8e73-1559afbcd725,3,"            Fluorescent Exterior Lighting",26 56 17,"Fluorescent exterior lighting includes energy-efficient fixtures designed for outdoor use, providing consistent illumination for areas such as pathways, building exteriors, and parking facilities.",Electrical > Lighting > Exterior Lighting > Fluorescent Exterior Lighting
1f248289-cde0-438e-9c3e-4048c3a3ff08,3,"            HID Exterior Lighting",26 56 21,"HID (High-Intensity Discharge) exterior lighting includes powerful, energy-efficient fixtures designed for outdoor spaces, providing bright illumination for areas such as streets, parking lots, and large landscapes.",Electrical > Lighting > Exterior Lighting > HID Exterior Lighting
2c79bfc4-2660-44e6-ba1b-c18e00c11724,3,"            Incandescent Exterior Lighting",26 56 18,"Incandescent exterior lighting includes outdoor fixtures that use incandescent lamps, providing warm, consistent illumination for pathways, building exteriors, and decorative applications.",Electrical > Lighting > Exterior Lighting > Incandescent Exterior Lighting
a1af72b9-a003-48f6-9a66-dd00df9eb282,3,"            Landscape Lighting",26 56 26,"Landscape lighting includes outdoor illumination systems designed to enhance the aesthetics, functionality, and safety of gardens, pathways, and other landscape features.",Electrical > Lighting > Exterior Lighting > Landscape Lighting
921cc3a0-d07d-4885-802f-bb63b5e42592,3,"            LED Exterior Lighting",26 56 19," LED exterior lighting consists of energy-efficient and durable fixtures designed for outdoor use, offering bright, long-lasting illumination for pathways, building exteriors, and landscape applications.",Electrical > Lighting > Exterior Lighting > LED Exterior Lighting
5439d54b-0998-436c-972f-ab5f5a626499,3,"            Lighting Poles and Standards",26 56 13," Lighting poles and standards are structural supports designed to mount and elevate lighting fixtures for outdoor applications, providing stability and optimal illumination for streets, parking lots, and other public areas.",Electrical > Lighting > Exterior Lighting > Lighting Poles and Standards
24e8cfcf-579c-4a56-bd4a-a2c92cacd0bd,3,"            Parking Lighting",26 56 16,"Parking lighting consists of outdoor lighting systems designed to provide visibility, safety, and security in parking lots and garages, typically utilizing energy-efficient and durable fixtures.",Electrical > Lighting > Exterior Lighting > Parking Lighting
7e0d6061-ffca-4a79-bdf4-cb96bf170d25,3,"            Site Lighting",26 56 29,"Site lighting consists of outdoor illumination systems designed to provide functional and decorative lighting for entire properties, enhancing safety, security, and visual appeal across various site elements.",Electrical > Lighting > Exterior Lighting > Site Lighting
