project_name,buyer_name,seller_name,package_type,equipment_types,component_types,component_count,lead_time_weeks,manufacturer,cost,answer_date
First Energy-Dover Richboynton Service Center HVAC Upgrades,Structure Tone (NY),Trane (Long Island City),"[""Packaged Rooftop Air-Conditioning Units""]","[""Packaged Rooftop Air-Conditioning Units""]","[""Packaged Rooftop Air-Conditioning Units""]",2,9,"[""Trane""]",80500,2025-06-03
Paul Weiss - 1345 AoA Project,Structure Tone (NY),Daikin Applied (New York),"[""Indoor Central-Station Air-Handling Units""]","[""Packaged, Outdoor, Heating-Only Makeup-Air Units"",""Small-Capacity Self-Contained Air-Conditioners""]","[""Indoor Central-Station Air-Handling Units"",""Packaged, Outdoor, Heating-Only Makeup-Air Units"",""Small-Capacity Self-Contained Air-Conditioners""]",3,20,"[""Daikin""]",256700,2025-06-03
55 Hudson Yards Cooley 47th Floor,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Fan-Powered VAV Terminal Units""]","[""Fan-Powered VAV Terminal Units""]","[""Fan-Powered VAV Terminal Units""]",6,4,"[""Krueger""]",7932.33,2025-06-03
First Energy-Dover Richboynton Service Center HVAC Upgrades,Structure Tone (NY),Trane (Long Island City),"[""Variable Refrigerant Flow Systems""]","[""Fan Coil Units"",""Split System Air Conditioners"",""Variable Refrigerant Flow Systems"",""Water-Source Heat Pumps""]","[""Fan Coil Units"",""Split System Air Conditioners"",""Variable Refrigerant Flow Systems"",""Water-Source Heat Pumps""]",10,7,"[""Mitsubishi""]",1,2025-06-03
55 Hudson Yards Cooley 47th Floor,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Diffusers, Registers, and Grilles""]","[""Air Outlets and Inlets"",""Diffusers, Registers, and Grilles""]","[""Air Outlets and Inlets"",""Diffusers, Registers, and Grilles""]",7,2,"[""Krueger""]",6761.43,2025-06-03
"Uber - 3 WTC, 40th Floor",Structure Tone (NY),ADE Systems Inc. (New York),"[""Air Outlets and Inlets""]","[""Air Outlets and Inlets"",""Air Terminal Units"",""Wall Registers and Grilles""]","[""Air Outlets and Inlets"",""Air Terminal Units"",""Wall Registers and Grilles""]",6,2,"[""Titus""]",205000,2025-05-30
"Uber - 3 WTC, 40th Floor",Structure Tone (NY),Mechanical X Advantage,"[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]",1,12,"[""Stulz""]",42650,2025-05-30
First Energy-Dover Richboynton Service Center HVAC Upgrades,Structure Tone (NY),ADE Systems Inc. (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",5,6,"[""Greenheck""]",15350,2025-05-30
"Uber - 3 WTC, 40th Floor",Structure Tone (NY),ADE Systems Inc. (New York),"[""Fan-Powered VAV Terminal Units""]","[""Air Terminal Units""]","[""Air Terminal Units"",""Fan-Powered VAV Terminal Units""]",1,4,"[""Titus""]",0,2025-05-30
Novartis IDF Room,Structure Tone (NY),Liebert (Vertiv) (New York) ,"[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]",1,9,"[""Vertiv""]",24450,2025-05-29
"Uber - 3 WTC, 40th Floor",Structure Tone (NY),Liebert (Vertiv) (New York) ,"[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]",1,10,"[""Vertiv""]",54750,2025-05-29
55 Hudson Yards Cooley 47th Floor,Structure Tone (NY),Albert Weiss A/C Products (New York),"[""Diffusers, Registers, and Grilles""]","[""Air Outlets and Inlets"",""Diffusers, Registers, and Grilles""]","[""Air Outlets and Inlets"",""Diffusers, Registers, and Grilles""]",7,6,"[""Anemostat""]",6800,2025-05-28
Provo Airport Phase II Expansion Final GMP,Layton,Graybar (New York),"[""Distribution Panelboards""]","[""Distribution Panelboards""]","[""Distribution Panelboards""]",1,20,"[""Square D""]",28908.44,2025-05-28
55 Hudson Yards Cooley 47th Floor,Structure Tone (NY),ADE Systems Inc. (New York),"[""Variable-Air-Volume Terminal Units""]","[""Air Terminal Units""]","[""Air Terminal Units"",""Variable-Air-Volume Terminal Units""]",1,1,"[""Titus""]",0,2025-05-28
55 Hudson Yards Cooley 47th Floor,Structure Tone (NY),ADE Systems Inc. (New York),"[""Diffusers, Registers, and Grilles""]","[""Air Outlets and Inlets"",""Diffusers, Registers, and Grilles""]","[""Air Outlets and Inlets"",""Diffusers, Registers, and Grilles""]",7,1,"[""Titus""]",13900,2025-05-28
55 Hudson Yards Cooley 47th Floor,Structure Tone (NY),ADE Systems Inc. (New York),"[""Fan-Powered VAV Terminal Units""]","[""Fan-Powered VAV Terminal Units""]","[""Fan-Powered VAV Terminal Units""]",6,1,"[""Titus""]",0,2025-05-28
55 Hudson Yards Cooley 47th Floor,Structure Tone (NY),Albert Weiss A/C Products (New York),"[""Fan-Powered VAV Terminal Units""]","[""Fan-Powered VAV Terminal Units""]","[""Fan-Powered VAV Terminal Units""]",6,6,"[""Anemostat""]",6500,2025-05-28
Citizens Bank Park - Right Field Club ,LF Driscoll,Daikin Applied (New York),"[""Air-Cooled, Rotary-Screw Water Chillers""]","[""Air-Cooled, Rotary-Screw Water Chillers""]","[""Air-Cooled, Rotary-Screw Water Chillers""]",1,22,"[""Daikin""]",785800,2025-05-27
Pasadena Central Library Seismic Retrofit & Historic Renovation,Abbott,Trane (Long Island City),"[""Packaged Rooftop Air-Conditioning Units""]","[""Packaged Rooftop Air-Conditioning Units""]","[""Packaged Rooftop Air-Conditioning Units""]",3,9,"[""Trane""]",73378,2025-05-21
Pasadena Central Library Seismic Retrofit & Historic Renovation,Abbott,Trane (Long Island City),"[""Fan Coil Units""]","[""Fan Coil Units""]","[""Fan Coil Units""]",2,17,"[""Trane""]",291709,2025-05-21
Pasadena Central Library Seismic Retrofit & Historic Renovation,Abbott,Trane (Long Island City),"[""Split System Air Conditioners""]","[""Split System Air Conditioners"",""Variable Refrigerant Flow Systems""]","[""Split System Air Conditioners"",""Variable Refrigerant Flow Systems""]",17,7,"[""Mitsubishi""]",67104,2025-05-21
Pasadena Central Library Seismic Retrofit & Historic Renovation,Abbott,Trane (Long Island City),"[""Indoor Central-Station Air-Handling Units""]","[""Indoor Central-Station Air-Handling Units"",""Packaged Outdoor HVAC Equipment""]","[""Indoor Central-Station Air-Handling Units"",""Packaged Outdoor HVAC Equipment""]",4,19,"[""Trane""]",534879,2025-05-21
Provo Airport Phase II Expansion Final GMP,Layton,J. Wilcox Sales,"[""Condensing Boilers""]","[""Condensing Boilers""]","[""Condensing Boilers""]",2,4,"[""Aerco""]",77900,2025-05-21
Apollo Global Management - Pre-Purchase Package,Structure Tone (NY),MWSK Equipment Sales (New York),"[""Water-Source Heat Pumps""]","[""Water-Source Unitary Heat Pumps""]","[""Water-Source Heat Pumps"",""Water-Source Unitary Heat Pumps""]",3,10,"[""Water Furnace""]",127400,2025-05-21
Apollo Global Management - Pre-Purchase Package,Structure Tone (NY),Trane (Long Island City),"[""Water-Source Heat Pumps""]","[""Water-Source Unitary Heat Pumps""]","[""Water-Source Heat Pumps"",""Water-Source Unitary Heat Pumps""]",3,10,"[""Trane""]",141115,2025-05-21
Pasadena Central Library Seismic Retrofit & Historic Renovation,Abbott,Trane (Long Island City),"[""Air-Side Heat Recovery""]","[""Air-Side Heat Recovery""]","[""Air-Side Heat Recovery""]",1,17,"[""Trane""]",918193,2025-05-21
Apollo Global Management - Pre-Purchase Package,Structure Tone (NY),Daikin Applied (New York),"[""Water-Source Heat Pumps""]","[""Water-Source Unitary Heat Pumps""]","[""Water-Source Heat Pumps"",""Water-Source Unitary Heat Pumps""]",3,9,"[""Daikin Applied""]",103970,2025-05-21
Provo Airport Phase II Expansion Final GMP,Layton,Trane (Long Island City),"[""Split System Air Conditioners""]","[""Split System Air Conditioners""]","[""Split System Air Conditioners""]",6,9,"[""Mitsubishi""]",19629,2025-05-21
Pasadena Central Library Seismic Retrofit & Historic Renovation,Abbott,Trane (Long Island City),"[""Air-Cooled, Modular Water Chillers""]","[""Air-Cooled, Modular Water Chillers""]","[""Air-Cooled, Modular Water Chillers""]",1,19,"[""Trane""]",1,2025-05-21
Apollo Global Management - Pre-Purchase Package,Structure Tone (NY),MWSK Equipment Sales (New York),"[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]",3,1,"[""Stulz""]",113050,2025-05-21
Provo Airport Phase II Expansion Final GMP,Layton,Siemens,"[""Low-Voltage Transformers""]","[""Low-Voltage Transformers""]","[""Low-Voltage Transformers""]",6,7,"[""Siemens""]",26976,2025-05-20
Verizon Spokane Reliability Uplift,Abbott,Trane (Long Island City),"[""Split System Air Conditioners""]","[""Split System Air Conditioners""]","[""Split System Air Conditioners""]",2,9,"[""Mitsubishi""]",1525,2025-05-20
Verizon Tacoma Reliability Uplift ,Abbott,Trane (Long Island City),"[""Split System Air Conditioners""]","[""Split System Air Conditioners""]","[""Split System Air Conditioners""]",2,9,"[""Mitsubishi""]",1576,2025-05-20
Apollo Global Management - Pre-Purchase Package,Structure Tone (NY),Liebert (Vertiv) (New York) ,"[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]",3,1,"[""Vertiv""]",182500,2025-05-19
Provo Airport Phase II Expansion Final GMP,Layton,Siemens,"[""Low-Voltage Transformers""]","[""Low-Voltage Transformers""]","[""Low-Voltage Transformers""]",6,7,"[""Siemens""]",26976,2025-05-16
The Hoxton - 616 Ewing Ave,Layton,Mechanical Resource Group,"[""Water-Source Unitary Heat Pumps""]","[""Water-Source Unitary Heat Pumps""]","[""Water-Source Unitary Heat Pumps""]",3,10,"[""Daikin""]",887746.6,2025-05-15
Pasadena Central Library Seismic Retrofit & Historic Renovation,Abbott,Siemens,"[""Low-Voltage Transformers""]","[""Low-Voltage Transformers""]","[""Low-Voltage Transformers""]",4,1,"[""Siemens""]",46909.71,2025-05-15
The Hoxton - 616 Ewing Ave,Layton,Mechanical Resource Group,"[""Packaged Rooftop Air-Conditioning Units""]","[""Packaged Rooftop Air-Conditioning Units""]","[""Packaged Rooftop Air-Conditioning Units""]",2,11,"[""Daikin""]",67337,2025-05-15
Pasadena Central Library Seismic Retrofit & Historic Renovation,Abbott,Siemens,"[""Switchboards""]","[""Low-Voltage Switchgear"",""Switchboards""]","[""Low-Voltage Switchgear"",""Switchboards""]",2,30,"[""Siemens""]",147270.7,2025-05-15
The Hoxton - 616 Ewing Ave,Layton,Mechanical Resource Group,"[""Dedicated Outdoor-Air Units""]","[""Dedicated Outdoor-Air Units"",""Packaged Rooftop Air-Conditioning Units""]","[""Dedicated Outdoor-Air Units"",""Packaged Rooftop Air-Conditioning Units""]",2,18,"[""Daikin""]",394210,2025-05-15
The Hoxton - 616 Ewing Ave,Layton,Mechanical Resource Group,"[""Cooling Towers""]","[""Cooling Towers""]","[""Cooling Towers""]",1,9,"[""Evapco""]",122366,2025-05-15
Provo Airport Phase II Expansion Final GMP,Layton,"SRS Enterprises, Inc. (New York)","[""HVAC Fans""]","[""Centrifugal HVAC Fans""]","[""Centrifugal HVAC Fans"",""HVAC Fans""]",2,9,"[""Loren Cook""]",5800,2025-05-14
The Hoxton - 616 Ewing Ave,Layton,Trane (Long Island City),"[""Packaged Rooftop Air-Conditioning Units""]","[""Packaged Rooftop Air-Conditioning Units""]","[""Packaged Rooftop Air-Conditioning Units""]",2,11,"[""Trane""]",630802,2025-05-14
The Hoxton - 616 Ewing Ave,Layton,Trane (Long Island City),"[""Dedicated Outdoor-Air Units""]","[""Dedicated Outdoor-Air Units"",""Packaged Rooftop Air-Conditioning Units""]","[""Dedicated Outdoor-Air Units"",""Packaged Rooftop Air-Conditioning Units""]",2,17,"[""Trane""]",1,2025-05-14
The Hoxton - 616 Ewing Ave,Layton,SPX Cooling Technologies,"[""Cooling Towers""]","[""Cooling Towers""]","[""Cooling Towers""]",1,1,"[""SPX Cooling Tech""]",131620,2025-05-14
Affirm NY,Structure Tone (NY),Trane (Long Island City),"[""Split System Air Conditioners""]","[""Split System Air Conditioners""]","[""Split System Air Conditioners""]",2,6,"[""Mitsubishi""]",30089,2025-05-12
Revlon - 15 Nest - R&D relocation,Structure Tone (NY),Trane (Long Island City),"[""Packaged Rooftop Air-Conditioning Units""]","[""Packaged Outdoor HVAC Equipment""]","[""Packaged Outdoor HVAC Equipment"",""Packaged Rooftop Air-Conditioning Units""]",1,16,"[""Trane""]",31240,2025-05-12
QTS - FTW1 - DC1 18MW Expansion,Structure Tone - Southwest,Turtle,"[""Busway Systems""]","[""Enclosed Bus Assemblies""]","[""Busway Systems"",""Enclosed Bus Assemblies""]",1,31,"[""Eaton""]",839518,2025-05-12
JPMC 4 Metrotech - Print Services,Structure Tone (NY),Mechanical X Advantage,"[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]",2,16,"[""Stulz""]",127000,2025-05-09
QTS - FTW1 - DC1 18MW Expansion,Structure Tone - Southwest,Golden Anvil Co.,"[""Busway Systems""]","[""Enclosed Bus Assemblies""]","[""Busway Systems"",""Enclosed Bus Assemblies""]",1,5,"[""Golden Anvil""]",569424,2025-05-09
QTS - FTW1 - DC1 18MW Expansion,Structure Tone - Southwest,Siemens,"[""Busway Systems""]","[""Enclosed Bus Assemblies""]","[""Busway Systems"",""Enclosed Bus Assemblies""]",1,31,"[""Siemens""]",502187,2025-05-09
QTS - FTW1 - DC1 18MW Expansion,Structure Tone - Southwest,Schneider Electric,"[""Busway Systems""]","[""Enclosed Bus Assemblies""]","[""Busway Systems"",""Enclosed Bus Assemblies""]",1,82,"[""Square D by Schneider Electric""]",1255325,2025-05-08
"New Pump Station Facility, CAPEX ",Structure Tone - Southwest,SPX Cooling Technologies,"[""Cooling Towers""]","[""Base-Mounted, Centrifugal Hydronic Pumps"",""Cooling Towers"",""Water Filtration Equipment""]","[""Base-Mounted, Centrifugal Hydronic Pumps"",""Cooling Towers"",""Water Filtration Equipment""]",8,1,"[""SPX Cooling Tech""]",299400,2025-05-07
"New Pump Station Facility, CAPEX ",Structure Tone - Southwest,Mechanical Technologies LLC (New York),"[""Cooling Towers""]","[""Base-Mounted, Centrifugal Hydronic Pumps"",""Cooling Towers"",""Water Filtration Equipment""]","[""Base-Mounted, Centrifugal Hydronic Pumps"",""Cooling Towers"",""Water Filtration Equipment""]",8,8,"[""Armstrong Fluid Technology""]",89420,2025-05-06
Provo Airport Phase II Expansion Final GMP,Layton,"SRS Enterprises, Inc. (New York)","[""HVAC Fans""]","[""Centrifugal HVAC Fans""]","[""Centrifugal HVAC Fans"",""HVAC Fans""]",2,9,"[""Loren Cook""]",5800,2025-05-06
Orlando Health-Lakeland FSED,Layton,Trane (Long Island City),"[""Electric Unit Heaters""]","[""Electric Unit Heaters"",""Fan Coil Units""]","[""Electric Unit Heaters"",""Fan Coil Units""]",2,6,"[""Trane""]",1,2025-05-05
Vineyard Prepurchase Package,Structure Tone (NY),Golden Anvil Co.,"[""Medium-Voltage Pad-Mounted Transformers""]","[""Medium-Voltage Pad-Mounted Transformers"",""Medium-Voltage Transformers""]","[""Medium-Voltage Pad-Mounted Transformers"",""Medium-Voltage Transformers""]",2,18,"[""ScoTech""]",127860,2025-05-02
Paul Weiss - 1345 AoA Project,Structure Tone (NY),Liebert (Vertiv) (New York) ,"[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners"",""Large-Capacity, Computer-Room Air-Conditioners, Floor-Mounted Units"",""Water-Source Heat Pumps""]","[""Computer-Room Air-Conditioners"",""Large-Capacity, Computer-Room Air-Conditioners, Floor-Mounted Units"",""Water-Source Heat Pumps""]",26,1,"[""Vertiv""]",755500,2025-05-01
Vineyard Prepurchase Package,Structure Tone (NY),Peak Measure (Utah) ,"[""Medium-Voltage Switchgear""]","[""Medium-Voltage Switchgear""]","[""Medium-Voltage Switchgear""]",2,54,"[""G&W Electric""]",237806,2025-04-30
Bank of America Office Interior Fit Out ,Structure Tone (NY),"SRS Enterprises, Inc. (New York)","[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",2,3,"[""Loren Cook""]",1200,2025-04-29
Bank of America Office Interior Fit Out ,Structure Tone (NY),"SRS Enterprises, Inc. (New York)","[""Electric Unit Heaters""]","[""Unit Heaters""]","[""Electric Unit Heaters"",""Unit Heaters""]",1,4,"[""Markel""]",11200,2025-04-29
Vineyard Prepurchase Package,Structure Tone (NY),"Registration Electric Supply, Inc","[""Medium-Voltage Switchgear""]","[""Medium-Voltage Switchgear""]","[""Medium-Voltage Switchgear""]",2,42,"[""ABB""]",249000,2025-04-29
"HCA Inspirada Free Standing ER Las Vegas, NV",Layton,Tom Barrow Company (Pensacola),"[""Unit Heaters""]","[""Unit Heaters""]","[""Unit Heaters""]",2,5,"[""Markel""]",805,2025-04-28
"HCA Inspirada Free Standing ER Las Vegas, NV",Layton,Tom Barrow Company (Pensacola),"[""Air Duct Accessories""]","[""Duct Silencers""]","[""Air Duct Accessories"",""Duct Silencers""]",1,7,"[""Price""]",12960,2025-04-28
Paul Weiss - 1345 AoA Project,Structure Tone (NY),DNT Enterprises (New York),"[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners"",""Large-Capacity, Computer-Room Air-Conditioners, Floor-Mounted Units"",""Water-Source Heat Pumps""]","[""Computer-Room Air-Conditioners"",""Large-Capacity, Computer-Room Air-Conditioners, Floor-Mounted Units"",""Water-Source Heat Pumps""]",26,15,"[""Bosch - Florida Heat Pump""]",26402.19,2025-04-28
"HCA Inspirada Free Standing ER Las Vegas, NV",Layton,Tom Barrow Company (Pensacola),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",6,10,"[""Loren Cook""]",18415,2025-04-28
Paul Weiss - 1345 AoA Project,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",21,6,"[""Twin City Fan""]",31000,2025-04-25
Paul Weiss - 1345 AoA Project,Structure Tone (NY),Mechanical X Advantage,"[""Water-Source Heat Pumps""]","[""Water-Source Heat Pumps"",""Water-Source Unitary Heat Pumps""]","[""Water-Source Heat Pumps"",""Water-Source Unitary Heat Pumps""]",49,15,"[""Water Furnace""]",289975,2025-04-25
Vineyard Prepurchase Package,Structure Tone (NY),Golden Anvil Co.,"[""Medium-Voltage Pad-Mounted Transformers""]","[""Medium-Voltage Pad-Mounted Transformers"",""Medium-Voltage Transformers""]","[""Medium-Voltage Pad-Mounted Transformers"",""Medium-Voltage Transformers""]",2,18,"[""ScoTech""]",127860,2025-04-25
Paul Weiss - 1345 AoA Project,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Variable-Air-Volume Terminal Units""]","[""Single-Duct VAV Terminal Units""]","[""Single-Duct VAV Terminal Units"",""Variable-Air-Volume Terminal Units""]",6,6,"[""Krueger""]",269460,2025-04-25
Spring Brook Country Clubouse Renovation,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Electric Unit Heaters""]","[""Electric Unit Heaters"",""Unit Heaters""]","[""Electric Unit Heaters"",""Unit Heaters""]",4,6,"[""Indeeco""]",30200,2025-04-24
AllianceBernstein TUS Building 54th Floor,Abbott,Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",2,0.5,"[""Twin City Fan""]",3310,2025-04-24
Spring Brook Country Clubouse Renovation,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",3,6,"[""Twin City Fan""]",4900,2025-04-24
Vornado - Penn 1 GMSC  1 - Level Space,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",3,6,"[""Twin City Fan""]",8530,2025-04-24
ASML B20 - AHU Replacements,Pavarini North East Construction Co LLC,Rafal Rep,"[""Packaged Rooftop Air-Conditioning Units""]","[""Packaged Rooftop Air-Conditioning Units""]","[""Packaged Rooftop Air-Conditioning Units""]",2,50,"[""Daikin""]",1388852,2025-04-24
First Energy DCC Renovation 5th floor & Concourse Level,Structure Tone (NY),Daikin Applied (New York),"[""Variable Refrigerant Flow Systems""]","[""Variable Refrigerant Flow Systems""]","[""Variable Refrigerant Flow Systems""]",21,5,"[""Daikin""]",250000,2025-04-24
Spring Brook Country Clubouse Renovation,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Air Terminal Units""]","[""Diffusers, Registers, and Grilles""]","[""Air Terminal Units"",""Diffusers, Registers, and Grilles""]",14,6,"[""Krueger""]",4140,2025-04-24
First Energy DCC Renovation 5th floor & Concourse Level,Structure Tone (NY),Daikin Applied (New York),"[""Dedicated Outdoor-Air Units""]","[""Dedicated Outdoor-Air Units""]","[""Dedicated Outdoor-Air Units""]",2,25,"[""Daikin""]",250000,2025-04-24
MITLL - Building B Roof Replacement,Structure Tone (NY),Trane (Long Island City),"[""Air-Source Unitary Heat Pumps""]","[""Air-Source Unitary Heat Pumps""]","[""Air-Source Unitary Heat Pumps""]",1,7,"[""Trane""]",36311,2025-04-23
ASML B20 - AHU Replacements,Pavarini North East Construction Co LLC,Rafal Rep,"[""Packaged Rooftop Air-Conditioning Units""]","[""Packaged Rooftop Air-Conditioning Units""]","[""Packaged Rooftop Air-Conditioning Units""]",2,25,"[""Daikin""]",1388852,2025-04-23
QVC Expo RTU Replacement,Structure Tone (NY),Trane (Long Island City),"[""Packaged Rooftop Air-Conditioning Units""]","[""Packaged Rooftop Air-Conditioning Units""]","[""Packaged Rooftop Air-Conditioning Units""]",2,13,"[""Trane""]",135000,2025-04-22
Paul Weiss - 1345 AoA Project,Structure Tone (NY),ADE Systems Inc. (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",21,8,"[""Greenheck""]",150750,2025-04-22
Bank of America Office Interior Fit Out ,Structure Tone (NY),ADE Systems Inc. (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",2,6,"[""Greenheck""]",27200,2025-04-22
First Energy DCC Renovation 5th floor & Concourse Level,Structure Tone (NY),Gil Bar Inc (New York),"[""Dedicated Outdoor-Air Units""]","[""Dedicated Outdoor-Air Units""]","[""Dedicated Outdoor-Air Units""]",2,16,"[""AAON""]",123250,2025-04-22
Bank of America Office Interior Fit Out ,Structure Tone (NY),ADE Systems Inc. (New York),"[""Electric Unit Heaters""]","[""Unit Heaters""]","[""Electric Unit Heaters"",""Unit Heaters""]",1,4,"[""Markel""]",25500,2025-04-22
Revlon - 15 Nest - R&D relocation,Structure Tone (NY),Gil Bar Inc (New York),"[""Humidifiers""]","[""Humidifiers""]","[""Humidifiers""]",1,10,"[""Armstrong""]",9340,2025-04-22
